,bike_name,price,kms_driven,owner,age,power,brand
11434,TVS Apache RTR,30000.0,6639.0,First Owner,9.0,180.0,TVS
11435,Bajaj Avenger Street,60000.0,20373.0,First Owner,6.0,220.0,Bajaj
11436,Hero Super Splendor,15600.0,84186.0,First Owner,16.0,125.0,Hero
11437,Bajaj Pulsar 150cc,22000.0,60857.0,First Owner,13.0,150.0,Bajaj
11438,Bajaj Platina 100cc,23000.0,20000.0,First Owner,6.0,100.0,Bajaj
11439,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,7.0,125.0,Suzuki
11440,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,10.0,150.0,Yamaha
11441,Bajaj Avenger Street,55005.0,6600.0,First Owner,5.0,220.0,Bajaj
11442,Royal Enfield Classic,87000.0,16336.0,First Owner,7.0,350.0,Royal Enfield
11443,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,11.0,350.0,Royal Enfield
11444,Suzuki Zeus 125cc,35000.0,11885.0,First Owner,12.0,125.0,Suzuki
11445,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,9.0,150.0,Bajaj
11446,Hero Passion Pro,32000.0,12000.0,First Owner,6.0,100.0,Hero
11447,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,11.0,220.0,Bajaj
11448,Hero Passion 100cc,15000.0,35000.0,Second Owner,19.0,100.0,Hero
11449,Hero Passion Pro,39000.0,22000.0,First Owner,4.0,100.0,Hero
11450,TVS Apache RTR,30000.0,6639.0,First Owner,9.0,180.0,TVS
11451,Bajaj Avenger Street,60000.0,20373.0,First Owner,6.0,220.0,Bajaj
11452,Hero Super Splendor,15600.0,84186.0,First Owner,16.0,125.0,Hero
11453,Bajaj Pulsar 150cc,22000.0,60857.0,First Owner,13.0,150.0,Bajaj
11454,Bajaj Platina 100cc,23000.0,20000.0,First Owner,6.0,100.0,Bajaj
11455,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,7.0,125.0,Suzuki
11456,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,10.0,150.0,Yamaha
11457,Bajaj Avenger Street,55005.0,6600.0,First Owner,5.0,220.0,Bajaj
11458,Royal Enfield Classic,87000.0,16336.0,First Owner,7.0,350.0,Royal Enfield
11459,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,11.0,350.0,Royal Enfield
11460,Suzuki Zeus 125cc,35000.0,11885.0,First Owner,12.0,125.0,Suzuki
11461,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,9.0,150.0,Bajaj
11462,Hero Passion Pro,32000.0,12000.0,First Owner,6.0,100.0,Hero
11463,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,11.0,220.0,Bajaj
11464,Hero Passion 100cc,15000.0,35000.0,Second Owner,19.0,100.0,Hero
11465,Hero Passion Pro,39000.0,22000.0,First Owner,4.0,100.0,Hero
11466,TVS Apache RTR,30000.0,6639.0,First Owner,9.0,180.0,TVS
11467,Bajaj Avenger Street,60000.0,20373.0,First Owner,6.0,220.0,Bajaj
11468,Hero Super Splendor,15600.0,84186.0,First Owner,16.0,125.0,Hero
11469,Bajaj Pulsar 150cc,22000.0,60857.0,First Owner,13.0,150.0,Bajaj
11470,Bajaj Platina 100cc,23000.0,20000.0,First Owner,6.0,100.0,Bajaj
11471,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,7.0,125.0,Suzuki
11472,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,10.0,150.0,Yamaha
11473,Bajaj Avenger Street,55005.0,6600.0,First Owner,5.0,220.0,Bajaj
11474,Royal Enfield Classic,87000.0,16336.0,First Owner,7.0,350.0,Royal Enfield
11475,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,11.0,350.0,Royal Enfield
11476,Suzuki Zeus 125cc,35000.0,11885.0,First Owner,12.0,125.0,Suzuki
11477,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,9.0,150.0,Bajaj
11478,Hero Passion Pro,32000.0,12000.0,First Owner,6.0,100.0,Hero
11479,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,11.0,220.0,Bajaj
11480,Hero Passion 100cc,15000.0,35000.0,Second Owner,19.0,100.0,Hero
11481,Hero Passion Pro,39000.0,22000.0,First Owner,4.0,100.0,Hero
11482,TVS Apache RTR,30000.0,6639.0,First Owner,9.0,180.0,TVS
11483,Bajaj Avenger Street,60000.0,20373.0,First Owner,6.0,220.0,Bajaj
11484,Hero Super Splendor,15600.0,84186.0,First Owner,16.0,125.0,Hero
11485,Bajaj Pulsar 150cc,22000.0,60857.0,First Owner,13.0,150.0,Bajaj
11486,Yamaha FZ 150cc,45000.0,18742.0,First Owner,6.0,150.0,Yamaha
11487,Honda CB Trigger,43000.0,42837.0,First Owner,8.0,150.0,Honda
11488,Yamaha YZF-R15 2.0,55000.0,27000.0,First Owner,9.0,150.0,Yamaha
11489,Hero CBZ Xtreme,11900.0,34968.0,First Owner,14.0,150.0,Hero
11490,Hero Passion 100cc,18000.0,3869.0,First Owner,16.0,100.0,Hero
11491,Bajaj Pulsar NS200,48000.0,41939.0,First Owner,8.0,200.0,Bajaj
11492,Bajaj Avenger 220cc,50000.0,29134.0,First Owner,7.0,220.0,Bajaj
11493,Hero Hunk Rear,25000.0,48587.0,First Owner,8.0,150.0,Hero
11494,Bajaj Avenger Street,70000.0,8000.0,First Owner,5.0,220.0,Bajaj
11495,Honda CB Hornet,87000.0,140.0,First Owner,3.0,160.0,Honda
11496,Bajaj Pulsar 150cc,10000.0,64955.0,First Owner,15.0,150.0,Bajaj
11497,Yamaha Fazer 150cc,25000.0,65000.0,First Owner,12.0,150.0,Yamaha
11498,Hero CD Deluxe,18000.0,22824.0,First Owner,8.0,100.0,Hero
11499,Bajaj Pulsar 150cc,14227.0,36000.0,First Owner,15.0,150.0,Bajaj
11500,Bajaj Avenger 220cc,35000.0,60000.0,First Owner,9.0,220.0,Bajaj
11501,Bajaj Avenger Street,80000.0,7127.0,First Owner,5.0,220.0,Bajaj
11502,Bajaj Platina 100cc,23000.0,20000.0,First Owner,6.0,100.0,Bajaj
11503,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,7.0,125.0,Suzuki
11504,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,10.0,150.0,Yamaha
11505,Bajaj Avenger Street,55005.0,6600.0,First Owner,5.0,220.0,Bajaj
11506,Royal Enfield Classic,87000.0,16336.0,First Owner,7.0,350.0,Royal Enfield
11507,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,11.0,350.0,Royal Enfield
11508,Suzuki Zeus 125cc,35000.0,11885.0,First Owner,12.0,125.0,Suzuki
11509,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,9.0,150.0,Bajaj
11510,Hero Passion Pro,32000.0,12000.0,First Owner,6.0,100.0,Hero
11511,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,11.0,220.0,Bajaj
11512,Hero Passion 100cc,15000.0,35000.0,Second Owner,19.0,100.0,Hero
11513,Hero Passion Pro,39000.0,22000.0,First Owner,4.0,100.0,Hero
11514,TVS Apache RTR,30000.0,6639.0,First Owner,9.0,180.0,TVS
11515,Bajaj Avenger Street,60000.0,20373.0,First Owner,6.0,220.0,Bajaj
11516,Hero Super Splendor,15600.0,84186.0,First Owner,16.0,125.0,Hero
11517,Bajaj Pulsar 150cc,22000.0,60857.0,First Owner,13.0,150.0,Bajaj
11518,Yamaha FZ 150cc,45000.0,18742.0,First Owner,6.0,150.0,Yamaha
11519,Honda CB Trigger,43000.0,42837.0,First Owner,8.0,150.0,Honda
11520,Yamaha YZF-R15 2.0,55000.0,27000.0,First Owner,9.0,150.0,Yamaha
11521,Hero CBZ Xtreme,11900.0,34968.0,First Owner,14.0,150.0,Hero
11522,Hero Passion 100cc,18000.0,3869.0,First Owner,16.0,100.0,Hero
11523,Bajaj Pulsar NS200,48000.0,41939.0,First Owner,8.0,200.0,Bajaj
11524,Bajaj Avenger 220cc,50000.0,29134.0,First Owner,7.0,220.0,Bajaj
11525,Hero Hunk Rear,25000.0,48587.0,First Owner,8.0,150.0,Hero
11526,Bajaj Avenger Street,70000.0,8000.0,First Owner,5.0,220.0,Bajaj
11527,Honda CB Hornet,87000.0,140.0,First Owner,3.0,160.0,Honda
11528,Bajaj Pulsar 150cc,10000.0,64955.0,First Owner,15.0,150.0,Bajaj
11529,Yamaha Fazer 150cc,25000.0,65000.0,First Owner,12.0,150.0,Yamaha
11530,Hero CD Deluxe,18000.0,22824.0,First Owner,8.0,100.0,Hero
11531,Bajaj Pulsar 150cc,14227.0,36000.0,First Owner,15.0,150.0,Bajaj
11532,Bajaj Avenger 220cc,35000.0,60000.0,First Owner,9.0,220.0,Bajaj
11533,Bajaj Avenger Street,80000.0,7127.0,First Owner,5.0,220.0,Bajaj
11534,Bajaj Platina 100cc,23000.0,20000.0,First Owner,6.0,100.0,Bajaj
11535,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,7.0,125.0,Suzuki
11536,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,10.0,150.0,Yamaha
